period_type,fiscal_year_be,period_order,period_label,indicator_no,indicator_name,target_text,target_type,target_value,numerator,denominator,actual_percent,status,gap_from_target
ไตรมาส,2567,1,ไตรมาส 1,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,4,6,66.67,ผ่าน,6.67
ไตรมาส,2567,1,ไตรมาส 1,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,105,798,13.16,ไม่ผ่าน,-56.84
ไตรมาส,2567,1,ไตรมาส 1,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,25,798,3.13,ไม่ผ่าน,-36.87
ไตรมาส,2567,1,ไตรมาส 1,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,23,798,2.88,ไม่ผ่าน,-77.12
ไตรมาส,2567,1,ไตรมาส 1,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,75,798,9.4,ผ่าน,5.6
ไตรมาส,2567,1,ไตรมาส 1,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,34,798,4.26,ผ่าน,25.74
ไตรมาส,2567,1,ไตรมาส 1,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,6,798,0.75,ผ่าน,4.25
ไตรมาส,2567,2,ไตรมาส 2,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,550,740,74.32,ผ่าน,4.32
ไตรมาส,2567,2,ไตรมาส 2,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,123,698,17.62,ไม่ผ่าน,-22.38
ไตรมาส,2567,2,ไตรมาส 2,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,8,36,22.22,ไม่ผ่าน,-17.78
ไตรมาส,2567,2,ไตรมาส 2,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,740,0,ผ่าน,4
ไตรมาส,2567,2,ไตรมาส 2,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,740,0,ผ่าน,4
ไตรมาส,2567,2,ไตรมาส 2,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,740,0,ผ่าน,4
ไตรมาส,2567,2,ไตรมาส 2,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,214,740,28.92,ไม่ผ่าน,-41.08
ไตรมาส,2567,2,ไตรมาส 2,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,124,740,16.76,ไม่ผ่าน,-43.24
ไตรมาส,2567,2,ไตรมาส 2,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,199,740,26.89,ไม่ผ่าน,-33.11
ไตรมาส,2567,2,ไตรมาส 2,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,239,647,36.94,ไม่ผ่าน,-33.06
ไตรมาส,2567,2,ไตรมาส 2,11,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Microalbuminuria ประจำปี,> 80%,>,80,11,740,1.49,ไม่ผ่าน,-78.51
ไตรมาส,2567,2,ไตรมาส 2,12,อัตราผู้ป่วย DM มี Microalbuminuria ที่ได้รักษาด้วยยา ACEI หรือ ARB,>= 60%,>=,60,3,8,37.5,ไม่ผ่าน,-22.5
ไตรมาส,2567,2,ไตรมาส 2,13,อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี,> 70%,>,70,92,740,12.43,ไม่ผ่าน,-57.57
ไตรมาส,2567,2,ไตรมาส 2,14,อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี,> 40%,>,40,12,740,1.62,ไม่ผ่าน,-38.38
ไตรมาส,2567,2,ไตรมาส 2,15,อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี,> 80%,>,80,27,740,3.65,ไม่ผ่าน,-76.35
ไตรมาส,2567,2,ไตรมาส 2,16,อัตราผู้ป่วยเบาหวานที่มี Diabetic retinopathy,< 15%,<,15,72,740,9.73,ผ่าน,5.27
ไตรมาส,2567,2,ไตรมาส 2,17,อัตราผู้ป่วยเบาหวานที่มี Diabetic nephropathy,< 30%,<,30,34,740,4.59,ผ่าน,25.41
ไตรมาส,2567,2,ไตรมาส 2,18,อัตราผู้ป่วยเบาหวานที่มีแผลที่เท้า,< 5%,<,5,4,740,0.54,ผ่าน,4.46
ไตรมาส,2567,3,ไตรมาส 3,1,อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c,>= 70%,>=,70,434,765,56.73,ไม่ผ่าน,-13.27
ไตรมาส,2567,3,ไตรมาส 3,2,อัตราผู้ป่วยเบาหวานชนิดที่ 2 ที่มีระดับ HbA1c < 7%,> 40%,>,40,115,733,15.69,ไม่ผ่าน,-24.31
ไตรมาส,2567,3,ไตรมาส 3,3,อัตราผู้ป่วยเบาหวานชนิดที่ 1 ที่มีระดับ HbA1c < 7%,> 40%,>,40,5,29,17.24,ไม่ผ่าน,-22.76
ไตรมาส,2567,3,ไตรมาส 3,4,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลันจาก DM,< 4%,<,4,0,765,0,ผ่าน,4
ไตรมาส,2567,3,ไตรมาส 3,5,อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hypoglycemia,< 4%,<,4,0,765,0,ผ่าน,4
ไตรมาส,2567,3,ไตรมาส 3,6,"อัตราการรักษาในโรงพยาบาลเนื่องจากภาวะแทรกซ้อนเฉียบพลัน Hyperglycemia, DKA",< 4%,<,4,0,765,0,ผ่าน,4
ไตรมาส,2567,3,ไตรมาส 3,7,อัตราผู้ป่วย DM ที่ได้รับการตรวจ Lipid profile,> 70%,>,70,165,765,21.57,ไม่ผ่าน,-48.43
ไตรมาส,2567,3,ไตรมาส 3,8,อัตราผู้ป่วย DM ที่มีระดับ LDL < 100 mg/dL,> 60%,>,60,93,765,12.16,ไม่ผ่าน,-47.84
ไตรมาส,2567,3,ไตรมาส 3,9,อัตราของระดับความดันโลหิตในผู้ป่วย DM <= 130/80 mmHg,>= 60%,>=,60,270,765,35.29,ไม่ผ่าน,-24.71
ไตรมาส,2567,3,ไตรมาส 3,10,อัตราผู้ป่วย DM อายุ 40 ปีขึ้นไปที่ได้รับยา Aspirin,> 70%,>,70,247,678,36.43,ไม่ผ่าน,-33.57
