"period_type","fiscal_year_be","period_order","period_label","risk_code","risk_name","risk_order","total_hn"
"ไตรมาส","2568","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2568","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","32"
"ไตรมาส","2568","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","1"
"ไตรมาส","2568","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","19"
"ไตรมาส","2568","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","8"
"ไตรมาส","2568","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","34"
"ไตรมาส","2568","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","0"
"ไตรมาส","2568","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2568","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","1","ตุลาคม","Z0280","เสี่ยงต่ำ","1","15"
"เดือน","2568","1","ตุลาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","1","ตุลาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","1","ตุลาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","2","พฤศจิกายน","Z0280","เสี่ยงต่ำ","1","7"
"เดือน","2568","2","พฤศจิกายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","2","พฤศจิกายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","2","พฤศจิกายน","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","3","ธันวาคม","Z0280","เสี่ยงต่ำ","1","13"
"เดือน","2568","3","ธันวาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","3","ธันวาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","3","ธันวาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","4","มกราคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2568","4","มกราคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","4","มกราคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","4","มกราคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","5","กุมภาพันธ์","Z0280","เสี่ยงต่ำ","1","17"
"เดือน","2568","5","กุมภาพันธ์","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","5","กุมภาพันธ์","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","5","กุมภาพันธ์","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","6","มีนาคม","Z0280","เสี่ยงต่ำ","1","11"
"เดือน","2568","6","มีนาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","6","มีนาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","6","มีนาคม","Z0283","เสี่ยงสูงมาก","4","1"
"เดือน","2568","7","เมษายน","Z0280","เสี่ยงต่ำ","1","3"
"เดือน","2568","7","เมษายน","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","7","เมษายน","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","7","เมษายน","Z0283","เสี่ยงสูงมาก","4","4"
"เดือน","2568","8","พฤษภาคม","Z0280","เสี่ยงต่ำ","1","2"
"เดือน","2568","8","พฤษภาคม","Z0281","เสี่ยงปานกลาง","2","0"
"เดือน","2568","8","พฤษภาคม","Z0282","เสี่ยงสูง","3","0"
"เดือน","2568","8","พฤษภาคม","Z0283","เสี่ยงสูงมาก","4","0"
"เดือน","2568","9","มิถุนายน","Z0280","เสี่ยงต่ำ","1","12"
