"period_type","fiscal_year_be","period_order","period_label","indicator_no","indicator_name","target_text","target_type","target_value","numerator","denominator","actual_percent","status","gap_from_target"
"เดือน","2566","9","มิถุนายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","43","290","14.83","ไม่ผ่าน","-55.17"
"เดือน","2566","9","มิถุนายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","10","290","3.45","ไม่ผ่าน","-36.55"
"เดือน","2566","9","มิถุนายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","16","290","5.52","ไม่ผ่าน","-74.48"
"เดือน","2566","10","กรกฎาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","219","320","68.44","ไม่ผ่าน","-1.56"
"เดือน","2566","10","กรกฎาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","60","219","27.4","ไม่ผ่าน","-12.6"
"เดือน","2566","10","กรกฎาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","33","320","10.31","ไม่ผ่าน","-59.69"
"เดือน","2566","10","กรกฎาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","12","320","3.75","ไม่ผ่าน","-36.25"
"เดือน","2566","10","กรกฎาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","15","320","4.69","ไม่ผ่าน","-75.31"
"เดือน","2566","11","สิงหาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","200","284","70.42","ผ่าน","0.42"
"เดือน","2566","11","สิงหาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","59","200","29.5","ไม่ผ่าน","-10.5"
"เดือน","2566","11","สิงหาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","46","284","16.2","ไม่ผ่าน","-53.8"
"เดือน","2566","11","สิงหาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","10","284","3.52","ไม่ผ่าน","-36.48"
"เดือน","2566","11","สิงหาคม","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","14","284","4.93","ไม่ผ่าน","-75.07"
"เดือน","2566","12","กันยายน","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","221","305","72.46","ผ่าน","2.46"
"เดือน","2566","12","กันยายน","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","62","221","28.05","ไม่ผ่าน","-11.95"
"เดือน","2566","12","กันยายน","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","36","305","11.8","ไม่ผ่าน","-58.2"
"เดือน","2566","12","กันยายน","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","17","305","5.57","ไม่ผ่าน","-34.43"
"เดือน","2566","12","กันยายน","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","5","305","1.64","ไม่ผ่าน","-78.36"
"ไตรมาส","2566","1","ไตรมาส 1","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","624","774","80.62","ผ่าน","10.62"
"ไตรมาส","2566","1","ไตรมาส 1","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","152","624","24.36","ไม่ผ่าน","-15.64"
"ไตรมาส","2566","1","ไตรมาส 1","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","96","774","12.4","ไม่ผ่าน","-57.6"
"ไตรมาส","2566","1","ไตรมาส 1","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","70","774","9.04","ไม่ผ่าน","-30.96"
"ไตรมาส","2566","1","ไตรมาส 1","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","40","774","5.17","ไม่ผ่าน","-74.83"
"ไตรมาส","2566","2","ไตรมาส 2","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","591","833","70.95","ผ่าน","0.95"
"ไตรมาส","2566","2","ไตรมาส 2","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","179","591","30.29","ไม่ผ่าน","-9.71"
"ไตรมาส","2566","2","ไตรมาส 2","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","112","833","13.45","ไม่ผ่าน","-56.55"
"ไตรมาส","2566","2","ไตรมาส 2","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","38","833","4.56","ไม่ผ่าน","-35.44"
"ไตรมาส","2566","2","ไตรมาส 2","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","52","833","6.24","ไม่ผ่าน","-73.76"
"ไตรมาส","2566","3","ไตรมาส 3","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","559","805","69.44","ไม่ผ่าน","-0.56"
"ไตรมาส","2566","3","ไตรมาส 3","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","149","559","26.65","ไม่ผ่าน","-13.35"
"ไตรมาส","2566","3","ไตรมาส 3","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","138","805","17.14","ไม่ผ่าน","-52.86"
"ไตรมาส","2566","3","ไตรมาส 3","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","29","805","3.6","ไม่ผ่าน","-36.4"
"ไตรมาส","2566","3","ไตรมาส 3","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","35","805","4.35","ไม่ผ่าน","-75.65"
"ไตรมาส","2566","4","ไตรมาส 4","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","587","813","72.2","ผ่าน","2.2"
"ไตรมาส","2566","4","ไตรมาส 4","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","168","587","28.62","ไม่ผ่าน","-11.38"
"ไตรมาส","2566","4","ไตรมาส 4","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","111","813","13.65","ไม่ผ่าน","-56.35"
"ไตรมาส","2566","4","ไตรมาส 4","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","39","813","4.8","ไม่ผ่าน","-35.2"
"ไตรมาส","2566","4","ไตรมาส 4","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","34","813","4.18","ไม่ผ่าน","-75.82"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","1033","1142","90.46","ผ่าน","20.46"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","348","1033","33.69","ไม่ผ่าน","-6.31"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","431","1142","37.74","ไม่ผ่าน","-32.26"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","170","1142","14.89","ไม่ผ่าน","-25.11"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","15","อัตราผู้ป่วย DM ที่ได้รับการตรวจเท้าอย่างละเอียดประจำปี",">= 80%",">=","80","160","1142","14.01","ไม่ผ่าน","-65.99"
"เดือน","2567","1","ตุลาคม","1","อัตราผู้ป่วย DM ที่ได้รับการตรวจ HbA1c",">= 70%",">=","70","264","374","70.59","ผ่าน","0.59"
"เดือน","2567","1","ตุลาคม","2","อัตราผู้ป่วย DM ที่มี HbA1c น้อยกว่า 7","> 40%",">","40","68","264","25.76","ไม่ผ่าน","-14.24"
"เดือน","2567","1","ตุลาคม","13","อัตราผู้ป่วย DM ที่ได้รับการตรวจจอประสาทตาประจำปี",">= 70%",">=","70","49","374","13.1","ไม่ผ่าน","-56.9"
"เดือน","2567","1","ตุลาคม","14","อัตราผู้ป่วย DM ที่ได้รับการตรวจสุขภาพช่องปากประจำปี","> 40%",">","40","4","374","1.07","ไม่ผ่าน","-38.93"
